599746	22	6	22	20	28	14	832	486	2	2	8	2	320	182	6	6	252	100	2	2	24	2	2	0	498	202	56	36	4	0
14	10474	6	16	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	6	11436	0	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	26	0	6484	16	40	0	2	0	0	0	0	0	2	0	2	0	4	0	2	0	8	0	0	0	0	0	0	0	4	0
14	0	28	12	9038	4	44	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	16	0	0	0	0	0	0	0	0
22	14	0	48	2	23928	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2	0
8	0	0	0	40	4	11868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2
498	0	0	0	0	10	0	2540	38	4	0	0	0	6	0	0	0	14	2	0	0	0	0	2	0	94	0	0	0	0	0
294	0	0	0	0	0	8	16	1462	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	64	0	0	0	0
6	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	2	0	0	0	0	0	4	0	0	0	0	0	1172	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
252	0	0	0	0	0	0	0	0	0	0	0	0	16	732	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
2	0	0	6	0	6	0	0	0	0	0	0	0	0	0	676	0	0	0	0	0	10	0	0	0	0	0	4	0	0	0
4	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	12	0	0	0	0	0	6	0	0
356	0	0	12	0	2	0	8	0	0	0	0	0	2	0	0	0	714	6	2	0	0	0	2	0	28	0	0	0	0	0
146	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	2	0	2	0	2
0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	0	0	0	0	0	2	0
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	2	0	0	0	0	0	4
2	2	0	10	0	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	884	0	0	0	0	0	2	0	0	0
4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1510	0	0	0	0	0	2	0	0
0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	52	2	0	0	0	0	0	0
0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
348	0	0	0	0	2	0	38	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1384	4	0	0	0	0
278	0	0	0	0	0	8	0	24	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	8	472	0	0	0	0
60	4	0	4	0	8	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	2	0	0	0	482	10	0	0
50	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	346	0	0
4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	52	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	54
